full_name,neo,pha,H,diameter,rot_per,e,a,q,i,ad,moid,moid_jup,producer,data_arc,first_obs,last_obs
"       (2010 VP241)",N,N,16.7,,,.1161636996538778,3.215644915133458,2.842103705018376,3.153407330680904,3.58918612524854,1.82775,1.47385,"Otto Matic",3085,2010-11-13,2019-04-25
"       (2010 VV241)",N,N,16.3,,,.08357377822422329,3.227092257284135,2.957391964664763,11.21837230753296,3.496792549903507,1.94559,1.50748,"Otto Matic",3135,2010-11-02,2019-06-03
"       (2010 WZ11)",N,N,16.6,,,.08247147895973476,3.033585645982976,2.783401351207737,10.01453912678464,3.283769940758214,1.81844,1.892,"Otto Matic",3146,2010-11-16,2019-06-28
"       (2010 WQ46)",N,,18.3,,,0.0845870,2.1622994,1.9793970,2.39783,2.3452018,,,Williams,,2005-??-??,2018-04-24
"       (2010 WU52)",N,N,18.3,,,.2506002857165162,2.697035969628268,2.021157985051703,2.087932073340356,3.372913954204833,1.02048,2.08736,"Otto Matic",1419,2010-11-14,2014-10-03
"       (2010 WD54)",N,N,15.6,,,.2768711306182902,3.987497570073373,2.883474609509474,9.187666013882392,5.091520530637273,1.89068,.635081,"Otto Matic",2960,2010-11-02,2018-12-10
"       (2010 WQ56)",N,N,17.2,,,.03532769216486372,2.652069486971216,2.558377992535668,10.9971910436764,2.745760981406763,1.59024,2.34892,"Otto Matic",3821,2008-04-14,2018-09-30
"       (2010 WL61)",N,N,17.073,,,.2144491765680278,3.192773325009313,2.508085714492702,16.1018470522488,3.877460935525925,1.54147,1.67607,"Otto Matic",19,2010-11-14,2010-12-03
"       (2010 XE20)",N,N,16.9,,,.09525625806420047,3.151381882267827,2.851193036431677,7.719360426279329,3.451570728103977,1.86456,1.8592,"Otto Matic",2206,2006-01-04,2012-01-19
"       (2010 XE21)",N,,17.5,,,0.0868863,2.4430107,2.2307465,15.44596,2.6552749,,,Williams,,2006-??-??,2019-02-09
"       (2010 XY29)",N,N,16.3,,,.1379110694505685,2.786565673813873,2.402267421643957,23.71306451327523,3.170863925983788,1.50945,2.20141,"Otto Matic",6565,2002-01-10,2020-01-01
"       (2010 XH93)",N,N,17.1,,,.1402707462394328,3.116373570755834,2.679237524425067,2.319986106537513,3.553509617086601,1.69303,1.46942,"Otto Matic",4046,2006-02-27,2017-03-27
"       (2010 XR95)",N,N,18.1,,,.2406693260657244,2.312248631964045,1.755761312012865,7.332530715278224,2.868735951915225,.772174,2.60864,"Otto Matic",2598,2010-12-13,2018-01-23
"       (2010 XQ96)",N,N,17.5,,,.1349508921611905,2.477187238425968,2.142888610550068,15.42461482382304,2.811485866301869,1.13742,2.5256,"Otto Matic",2481,2010-12-11,2017-09-26
"       (2010 XH100)",N,N,16.8,,,.07803619162059747,2.920555710898954,2.692646665804613,9.030838498532697,3.148464755993295,1.70858,2.27636,"Otto Matic",3246,2010-12-08,2019-10-28
"       (2011 AC5)",N,,18.6,,,0.0814812,2.2832787,2.0972344,6.06405,2.4693230,,,Williams,,2008-??-??,2018-02-10
"       (2011 AA7)",N,,18.3,,,0.1308013,2.2829785,1.9843619,4.09464,2.5815951,,,Williams,,2006-??-??,2018-02-08
"       (2011 AS12)",N,,16.7,,,0.1363646,3.1010160,2.6781472,16.63616,3.5238848,,,Williams,,2011-??-??,2018-07-11
"       (2011 AG15)",N,N,16.5,,,.06427741282926831,2.454277064688007,2.296522484603651,6.625838466746549,2.612031644772363,1.31131,2.40283,"Otto Matic",6967,2000-05-04,2019-06-01
"       (2011 AT41)",N,N,18.7,,,.1929197400985794,2.346547244753135,1.893851960166323,7.705002013295508,2.799242529339947,.91405,2.3402,"Otto Matic",6592,1999-12-09,2017-12-26
"       (2011 AN45)",N,N,16.8,,,.1961431508646371,2.465454236826913,1.981872274503113,9.389105764675836,2.949036199150712,1.00994,2.30727,"Otto Matic",6917,2000-05-05,2019-04-13
"       (2011 AQ81)",N,N,16.4,,,.01088182440814822,3.124009874363568,3.090014947461423,9.386876416339048,3.158004801265713,2.1051,1.88459,"Otto Matic",7136,2000-02-07,2019-08-22
"       (2011 AH83)",N,N,18.4,,,.1239812040405301,2.392988569262767,2.096302965190344,5.113199438937808,2.68967417333519,1.10079,2.27464,"Otto Matic",3061,2011-01-14,2019-06-02
"       (2011 BF22)",N,N,17.5,,,.2000983357216839,2.342293497026287,1.873604466499604,24.32414941925721,2.81098252755297,.892025,2.28966,"Otto Matic",24,2011-01-11,2011-02-04
"       (2011 BB34)",N,N,17.9,,,.2818690735531731,2.643712168676621,1.898531468950491,7.115250865346484,3.38889286840275,.928928,1.77886,"Otto Matic",2898,2011-01-27,2019-01-03
"       (2011 BL39)",N,N,18.7,,,.1327685548208875,1.918144207909676,1.663474973487452,17.76018125375557,2.1728134423319,.74213,3.18785,"Otto Matic",2951,2011-01-10,2019-02-08
"       (2011 BQ50)",Y,N,28.0,,,.09789779915293965,.9504065341216381,.8573638261305565,.3590524346016178,1.04344924211272,.00527862,3.99116,"Otto Matic",12,2011-01-30,2011-02-11
"       (2011 BV67)",N,N,17.4,,,.05564924193591209,2.723561317907783,2.571997195200241,5.180138140294724,2.875125440615324,1.56007,2.29134,"Otto Matic",2862,2011-01-28,2018-11-29
"       (2011 BA71)",N,N,17.5,,,.1245990293879891,2.390230226039985,2.092409859861569,5.757845967894038,2.688050592218401,1.10852,2.69499,"Otto Matic",1507,2006-12-21,2011-02-05
"       (2011 BU79)",N,N,17.4,,,.2267200674635881,2.595617205277643,2.007138697387446,5.198016349235464,3.18409571316784,1.02427,2.05541,"Otto Matic",2934,2011-01-27,2019-02-08
"       (2011 BS80)",N,N,16.7,,,.08332492039951205,2.777180517185631,2.545772171656063,9.827709997566352,3.008588862715199,1.5626,2.0216,"Otto Matic",6085,2002-02-07,2018-10-06
"       (2011 BK83)",N,N,16.1,,,.2963897310303116,3.187483966912723,2.24274645129603,26.24717649703692,4.132221482529416,1.3889,1.65347,"Otto Matic",4477,2005-01-16,2017-04-20
"       (2011 BZ93)",N,N,16.2,,,.1327209328698458,3.166005936245297,2.745810674915351,15.67278485689233,3.586201197575242,1.76966,1.76445,"Otto Matic",5049,2005-12-01,2019-09-28
"       (2011 BO124)",N,N,16.8,,,.0267546027341068,2.686655406056154,2.614775007983681,12.10353811500327,2.758535804128627,1.61981,2.29931,"Otto Matic",3716,2009-10-24,2019-12-27
"       (2011 BX156)",N,N,18.966,,,.1331623506816897,2.305127854858618,1.998171611083804,2.844064800810606,2.612084098633433,1.00544,2.36021,"Otto Matic",11,2011-01-28,2011-02-08
"       (2011 BG164)",N,N,17.3,,,.1204348504447009,3.070932678760153,2.701085360867929,9.975963825443927,3.440779996652376,1.73955,1.87325,"Otto Matic",4929,2006-03-26,2019-09-23
"       (2011 BR164)",N,N,18.2,,,.1187719000639528,2.579625230299921,2.273238240244288,9.362814486303808,2.886012220355555,1.29565,2.20269,"Otto Matic",3371,2007-03-14,2016-06-05
"       (2011 BA180)",N,N,18.4,,,.1683299559254005,2.335839640800256,1.942647857015546,4.179869406819624,2.729031424584967,.941372,2.25801,"Otto Matic",1571,2011-01-28,2015-05-18
"       (2011 BY183)",N,N,17.5,,,.05936624584976895,2.659312228437104,2.50143884489241,9.287902073917012,2.817185611981798,1.51961,2.34768,"Otto Matic",2902,2011-01-30,2019-01-10
"       (2011 BU186)",N,,18.4,,,0.2715007,2.4776935,1.8049980,13.27116,3.1503890,,,Veres,,2011-??-??,2017-10-10
"       (2011 CK16)",N,N,16.4,,,.1626831437953881,2.760068847688792,2.311052170455065,13.28908667282404,3.209085524922519,1.33018,1.86311,"Otto Matic",6508,2002-03-05,2019-12-29
"       (2011 CO28)",N,N,16.0,,,.2909954508803508,3.095052267847795,2.194406137667174,23.75451399366273,3.995698398028416,1.34448,1.90708,"Otto Matic",2306,2009-08-26,2015-12-19
"       (2011 CR33)",N,N,16.4,,,.1592624245123603,3.105120849136638,2.610591774299258,27.55124084971275,3.599649923974018,1.6311,1.50156,"Otto Matic",918,2011-01-27,2013-08-02
"       (2011 CP53)",N,N,17.94,,,.3298721361599745,2.672956443766104,1.791222591798411,9.642232435479295,3.554690295733798,.817368,1.49673,"Otto Matic",31,2011-01-30,2011-03-02
"       (2011 CB59)",N,N,18.603,,,.1222825336829242,2.647904442894519,2.324111978667105,6.328679665323705,2.971696907121932,1.34832,2.29464,"Otto Matic",26,2011-01-30,2011-02-25
